IIDx	IID	KE_correct	GB	KE	Family	Name_number
S17	436	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldarmaki	Name 6a
S251	427	Dubai	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldarmaki	Name 6a
722	S55	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
751	S54	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
800	S53	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
831	S50	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
873	S499	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
1107	S497	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
1541	S496	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
1673	S492	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
1849	S490	Umm Al Quwain	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
2227	S49	Umm Al Quwain	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
2646	S489	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
3060	S488	Ajman	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
3321	S484	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
3663	S482	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
3724	S481	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
3737	S480	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
4444	S475	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
FG9	S473	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
S102	S470	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
S176	S469	Sharjah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
S288	S467	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Aldhaheri	Name 21
182	1243	Abu Dhabi	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Aldhanhani	Name 14a
351	1240	Ras Al Khaimah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Aldhanhani	Name 14a
544	1232	Abu Dhabi	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Aldhanhani	Name 14a
