IIDx	IID	KE_correct	GB	KE	Family	Name_number
S95	1455	Fujairah	Sharjah_Emirati	Sharjah_Emirati	Alhammoudi	Name 17
S258	1445	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alhammoudi	Name 17
S315	1441	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alhammoudi	Name 17
785	773	Ras Al Khaimah	Sharjah_Emirati	Sharjah_Emirati	Alhantoobi	Other
3268	767	Umm Al Quwain	Sharjah_Emirati	Sharjah_Emirati	Alhantoobi	Other
S212	762	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alhantoobi	Other
S434	1023	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhasani	Name 1
394	268	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhassani	Name 8b
838	267	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhassani	Name 8b
2292	253	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhassani	Name 8b
2414	248	Dubai	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhassani	Name 8b
2612	245	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhassani	Name 8b
3995	244	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhassani	Name 8b
4191	243	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhassani	Name 8b
S333	242	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alhassani	Name 8b
146	S466	Ras Al Khaimah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
147	S465	Abu Dhabi	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
232	S463	Dubai	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
236	S459	Abu Dhabi	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
344	S457	Abu Dhabi	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
1364	S451	Abu Dhabi	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
1585	S450	Ras Al Khaimah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
1719	S45	Abu Dhabi	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
1741	S447	Ras Al Khaimah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
2020	S444	Umm Al Quwain	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
2193	S437	Ras Al Khaimah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
2211	S436	Ras Al Khaimah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
2356	S434	Abu Dhabi	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
2407	S433	Abu Dhabi	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
3310	S431	Ras Al Khaimah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
3373	S430	Dubai	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
3579	S429	Abu Dhabi	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
3674	S425	Abu Dhabi	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
3942	S423	Ras Al Khaimah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
FG13	S421	Unknown	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
S148	S420	Umm Al Quwain	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
S293	S42	Ras Al Khaimah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
S447	S419	Abu Dhabi	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alhebsi	Name 23
3335	#N/A	#N/A	Dubai_Emirati	Dubai_Emirati	Alhefeiti	Other
S389	1025	Ras Al Khaimah	Dubai_Emirati	Dubai_Emirati	Alhefeiti	Other
607	634	Abu Dhabi	Fujairah_Emirati	Fujairah_Emirati	Alhindasi	Other
1552	630	Ras Al Khaimah	Fujairah_Emirati	Fujairah_Emirati	Alhindasi	Other
2652	619	Ras Al Khaimah	Fujairah_Emirati	Fujairah_Emirati	Alhindasi	Other
S320	618	Abu Dhabi	Fujairah_Emirati	Fujairah_Emirati	Alhindasi	Other
3939	1031	Ras Al Khaimah	Dubai_Emirati	Dubai_Emirati	Aljallaf	Other
334	782	Ras Al Khaimah	Sharjah_Emirati	Sharjah_Emirati	Aljasmi	Other
2152	777	Sharjah	Sharjah_Emirati	Sharjah_Emirati	Aljasmi	Other
S300	776	Ras Al Khaimah	Sharjah_Emirati	Sharjah_Emirati	Aljasmi	Other
12	FG67	Fujairah	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
125	FG66	Dubai	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
167	FG65	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
171	FG63	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
248	FG61	Ras Al Khaimah	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
554	FG6	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
637	FG59	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
922	FG58	Fujairah	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
1046	FG57	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
1155	FG56	Ras Al Khaimah	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
1322	FG54	Ras Al Khaimah	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
1368	FG51	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
1425	FG5	Ras Al Khaimah	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
1751	FG48	Dubai	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
2174	FG47	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
2254	FG45	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
2333	FG43	Ajman	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
2716	FG39	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
2916	FG37	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
3038	FG31	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
3502	FG25	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
3967	FG24	Fujairah	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
4065	FG155	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
4079	FG153	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
4111	FG151	Umm Al Quwain	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
4132	FG146	Fujairah	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
4428	FG144	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
FG48	FG142	Ras Al Khaimah	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
FG66	FG139	Ras Al Khaimah	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
FG95	FG138	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
FG107	FG137	Sharjah	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
S66	FG136	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
S201	FG135	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
S301	FG134	Umm Al Quwain	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
S303	FG132	Abu Dhabi	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
S430	FG13	Ras Al Khaimah	Dubai_Emirati	Dubai_Emirati	Alkaabi	Name 36
82	1627	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alketbi	Name 19b
665	1623	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alketbi	Name 19b
1163	1619	Fujairah	Sharjah_Emirati	Sharjah_Emirati	Alketbi	Name 19b
1546	1617	Ras Al Khaimah	Sharjah_Emirati	Sharjah_Emirati	Alketbi	Name 19b
1631	1612	Ras Al Khaimah	Sharjah_Emirati	Sharjah_Emirati	Alketbi	Name 19b
1833	1608	Ras Al Khaimah	Sharjah_Emirati	Sharjah_Emirati	Alketbi	Name 19b
2616	1597	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alketbi	Name 19b
3439	1587	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alketbi	Name 19b
3729	1586	Umm Al Quwain	Sharjah_Emirati	Sharjah_Emirati	Alketbi	Name 19b
3929	1585	Ras Al Khaimah	Sharjah_Emirati	Sharjah_Emirati	Alketbi	Name 19b
4174	1576	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alketbi	Name 19b
4278	1573	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alketbi	Name 19b
FG121	1565	Ras Al Khaimah	Sharjah_Emirati	Sharjah_Emirati	Alketbi	Name 19b
S236	1561	Ras Al Khaimah	Sharjah_Emirati	Sharjah_Emirati	Alketbi	Name 19b
S260	1559	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alketbi	Name 19b
S286	1558	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alketbi	Name 19b
S351	1552	Fujairah	Sharjah_Emirati	Sharjah_Emirati	Alketbi	Name 19b
S367	1546	Sharjah	Sharjah_Emirati	Sharjah_Emirati	Alketbi	Name 19b
S371	1541	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Alketbi	Name 19b
1280	886	Ras Al Khaimah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alkhanbooli	Other
FG61	884	Ras Al Khaimah	Ras_al_Khaimah_Emirati	Ras_al_Khaimah_Emirati	Alkhanbooli	Other
233	298	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alkhateri	Name 8c
397	296	Unknown	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alkhateri	Name 8c
762	294	Sharjah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alkhateri	Name 8c
1056	287	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alkhateri	Name 8c
1559	286	Umm Al Quwain	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alkhateri	Name 8c
3350	281	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alkhateri	Name 8c
3731	277	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alkhateri	Name 8c
S499	274	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alkhateri	Name 8c
S2	798	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alkhemeiri	Other
S50	796	Dubai	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alkhemeiri	Other
S285	785	Sharjah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Alkhemeiri	Other
97	894	Ajman	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almaflahi	Other
FG51	888	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almaflahi	Other
1182	911	Ras Al Khaimah	Sharjah_Emirati	Sharjah_Emirati	Almahrooqi	Other
2577	909	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Almahrooqi	Other
564	832	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Almanaei	Other
1173	831	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Almanaei	Other
3619	821	Abu Dhabi	Sharjah_Emirati	Sharjah_Emirati	Almanaei	Other
2299	1035	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almanaseer	Other
106	2432	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
108	2423	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
126	2422	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
231	2417	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
253	2414	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
274	2407	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
277	2406	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
380	2401	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
417	2400	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
482	2399	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
513	2388	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
612	2385	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
618	2372	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
678	2365	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
684	2364	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
723	2356	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
736	2342	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
832	2340	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
841	2333	Dubai	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
855	2324	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
874	2305	Umm Al Quwain	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
909	2301	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
939	2299	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
942	2298	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
969	2297	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
974	2294	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1002	2292	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1045	2290	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1103	2289	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1109	2288	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1171	2278	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1244	2274	Umm Al Quwain	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1292	2273	Umm Al Quwain	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1297	2272	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1339	2268	Ajman	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1344	2264	Ajman	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1441	2261	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1499	2254	Dubai	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1517	2246	Umm Al Quwain	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1647	2245	Umm Al Quwain	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1770	2242	Dubai	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1819	2238	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1828	2235	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1844	2228	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1855	2227	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1909	2214	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1912	2211	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
1933	2206	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2066	2202	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2091	2199	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2107	2194	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2288	2193	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2290	2181	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2298	2174	Dubai	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2417	2161	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2500	2152	Sharjah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2679	2149	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2688	2148	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2704	2137	Ajman	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2714	2130	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2804	2127	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2810	2119	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2817	2109	Sharjah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2833	2107	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2834	2097	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2840	2093	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2878	2091	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2899	2088	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2900	2083	Sharjah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2905	2071	Sharjah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2932	2070	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2962	2066	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
2995	2057	Ajman	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3028	2055	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3044	2053	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3048	2037	Sharjah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3212	2024	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3358	2020	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3368	2015	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3410	1994	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3428	1990	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3430	1965	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3432	1959	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3483	1958	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3485	1956	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3506	1955	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3528	1953	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3569	1952	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3572	1949	Ajman	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3620	1948	Sharjah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3626	1933	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3633	1921	Unknown	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3675	1919	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3680	1912	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3722	1910	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3727	1909	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3926	1897	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3969	1887	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3971	1886	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3989	1885	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
3991	1875	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
4001	1871	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
4008	1861	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
4010	1857	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
4025	1855	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
4031	1852	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
4074	1850	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
4201	1849	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
4231	1844	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
4232	1841	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
4233	1840	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
4261	1833	Sharjah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
4282	1828	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
4405	1819	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
FG6	1814	Sharjah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
FG31	1809	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
FG63	1801	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
FG129	1795	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
S19	1794	Fujairah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
S34	1791	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
S39	1781	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
S62	1778	Unknown	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
S69	1772	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
S79	1770	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
S80	1762	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
S88	1758	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
S90	1757	Sharjah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
S106	1754	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
S124	1751	Dubai	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
S128	1748	Abu Dhabi	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
S131	1743	Umm Al Quwain	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
S144	1741	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
S180	1732	Ras Al Khaimah	Abu_Dhabi_Emirati	Abu_Dhabi_Emirati	Almansoori	Name 142 
