Recipient Egypt Ethiopia Kazakhstan Russia Azerbaijan Armenia Iran Bosnia-Herzegovina Ukraine Kyrgyzstan Tajikistan Belarus Georgia Jordan Poland Israel India Moldova Hungary Latvia Lithuania Estonia Lebanon Albania Uzbekistan Bangladesh Nepal IBS_Spain PJL_Pakistan GWD_Gambia ESN_Nigeria BEB_Bengal MSL_Sierra_Leone STU_Sri_Lanka ITU_India YRI_Nigeria LWK_Kenya TSI_Italy GIH_India
350 1169.73621 708.975459 23.871019 219.195825 13.013219 103.844911 48.151545 46.696762 65.554566 12.474211 51.469601 25.624651 46.537918 31.824214 28.442847 107.924618 80.713898 9.599081 7.362147 13.678287 19.18839 37.001747 9.513004 26.60157 34.477764 7.78616 6.855908 739.893673 514.656685 86.054614 81.658316 369.162403 57.37521 431.57205 433.00701 80.836137 150.171577 869.194613 475.720047
380 816.819003 448.115876 38.496539 224.705834 21.02924 83.185969 43.590614 50.865458 64.060547 18.285643 82.393664 29.955517 53.085743 24.276551 32.270242 72.544814 120.541264 15.929846 7.298603 21.737706 18.334485 37.913663 9.591915 25.159847 28.444454 14.305701 8.921469 776.192564 665.83311 66.893906 60.833832 456.64104 46.371564 532.949365 598.53997 69.14006 101.580016 813.611862 644.970364
384 1384.36296 861.725266 28.302292 195.499192 16.510518 84.135702 44.960592 43.008637 57.298485 12.378558 53.393935 25.343557 45.230865 23.86565 21.704048 114.230166 68.530757 13.194929 6.51007 14.769139 17.704321 33.567847 10.33274 22.320068 30.163496 8.690441 5.948377 764.141383 372.324168 169.746833 139.426304 259.648634 105.41274 317.126856 318.278436 148.712752 203.045774 862.789596 341.081788
391 1620.81642 987.212437 29.913798 188.385456 25.077167 100.346208 61.440017 45.463216 57.784362 13.717221 59.289132 24.483408 40.891742 42.405685 22.562978 119.541412 54.563465 12.228373 6.554035 14.414486 14.423159 27.394801 12.741453 26.367029 30.764409 8.487617 6.310474 752.033503 405.55792 79.272379 48.536842 267.93241 41.885288 312.283304 329.405913 51.688096 104.622694 855.341246 343.278312
394 1159.63247 722.62843 28.560045 220.049612 19.862617 101.760116 44.86267 42.352766 63.130206 14.619793 63.632906 29.298218 35.972055 30.894751 26.146607 109.429764 84.338101 13.793644 5.007922 15.695021 14.965593 33.797344 12.882162 26.749094 38.671706 10.976979 6.778678 745.574964 491.529499 79.852992 95.410412 343.308654 58.911901 422.20993 419.369023 99.093123 192.178469 864.470542 457.019081
397 1561.352 854.687186 24.735079 202.968595 18.855305 87.278475 66.812792 47.475772 64.780264 12.326773 68.900921 20.51615 43.302756 36.273833 28.489552 140.594267 74.592574 15.612276 6.55848 15.283918 14.465754 28.93982 10.921791 28.005831 35.421082 8.079465 5.005793 741.337306 407.838401 74.319688 58.323747 297.356003 41.349537 351.885712 380.504387 63.148607 109.216058 810.852183 387.049733
415 1383.56332 805.908435 25.832437 217.899531 14.961782 103.565999 60.317641 44.346952 64.721527 15.156595 60.066427 20.69997 37.085495 28.370039 27.497251 110.14491 77.686482 13.072545 4.029963 14.611511 18.78954 29.374482 14.790599 18.800768 36.321515 10.336438 7.188035 705.276471 480.156364 80.550976 55.896783 332.349917 47.427307 392.798515 415.166988 66.451951 132.01372 826.974891 445.213802
416 1532.06388 871.917841 23.563644 203.222726 17.038388 92.254841 65.931756 48.185308 60.512986 13.712805 51.939352 19.760494 42.049622 33.147933 21.730167 127.250166 68.418214 15.887729 5.541703 11.320363 14.520415 28.39796 7.062417 27.640609 29.738515 9.911695 7.317617 741.366013 417.334473 76.919904 57.437613 291.793652 49.350393 353.746782 361.961918 70.006451 122.057483 857.776754 395.627262
417 1628.86709 948.46193 24.274111 195.741552 15.979989 97.768907 47.142588 47.636567 60.89759 15.549554 46.09492 24.645079 48.319524 38.095421 26.47028 119.283794 63.767172 12.185943 9.447624 16.356273 13.228977 25.137432 10.055878 19.564765 27.360314 8.597383 7.684762 725.327563 388.044383 75.47304 57.00929 270.333128 50.111124 342.788252 339.826997 62.118717 105.216753 858.170261 372.382937
437 1540.51453 890.371019 27.692485 213.356759 21.128752 86.242646 45.940969 45.761848 66.590795 13.248354 58.23304 23.82133 42.328364 46.31942 24.017159 114.127863 63.967543 16.876913 5.70979 17.196342 20.120432 27.132198 13.98611 27.587509 35.403993 10.335865 9.985226 743.524971 397.815547 83.231301 63.245458 284.913082 44.411766 353.665782 356.047841 66.560508 112.888736 838.450415 392.665204
452 651.867008 548.742586 22.092111 121.889194 7.968437 56.664354 43.169225 33.404269 36.471847 9.390575 44.457511 13.699773 24.690727 17.206956 15.190379 60.714683 66.657431 8.265559 5.727821 14.666735 10.490887 19.201205 4.810798 15.049947 21.6014 10.984103 5.752875 443.92359 385.200423 276.949528 495.892797 285.674823 262.353436 378.65405 382.391035 517.951102 1051.31833 488.351266 385.929089
475 1588.22625 905.987645 23.870176 203.767813 13.548089 102.911291 50.113997 39.456379 66.234332 14.95819 56.88995 23.65423 46.526573 46.582492 27.800363 127.076756 60.208651 14.656352 5.785403 21.634386 16.517657 33.149742 12.144903 25.196798 29.361577 9.727905 4.427126 738.288802 384.506352 78.787006 57.395194 289.433888 44.870265 321.889006 346.090133 60.344801 130.316203 860.805691 362.275491
482 830.646334 461.484787 42.633182 217.22585 19.550214 84.093085 42.42725 47.786288 67.197967 19.710461 78.502737 27.334784 49.080025 23.544448 29.062074 72.580927 111.08818 11.621631 10.124504 22.428227 18.960027 38.018601 9.862973 23.831551 31.852766 18.690609 11.398602 769.436187 650.618604 67.66968 63.264863 466.426199 44.668204 557.947697 586.551789 64.859545 111.72475 827.074517 614.437741
495 879.361291 501.147237 27.021002 160.404135 15.439195 64.908198 39.038381 33.546374 46.640946 15.935668 54.469705 20.85695 27.647731 16.98691 18.9158 74.901916 142.315074 7.810115 4.581475 10.476952 18.395956 24.323154 9.245728 17.154559 28.666169 16.288742 8.77086 538.621718 623.766402 64.470643 46.737457 570.207057 35.441483 801.016159 917.114546 46.744839 67.716743 594.654475 653.676115
498 861.234874 624.000036 23.63647 160.237772 11.236982 72.797949 31.429167 37.622938 41.527668 13.072807 38.209278 18.863353 31.460934 21.724374 14.92542 62.332061 63.815237 11.898799 5.10706 11.54943 13.02081 22.903966 8.566459 12.946983 32.718282 9.508885 5.267265 504.918651 347.819783 246.015328 447.542099 261.141049 235.054363 311.141479 326.49169 442.2642 945.401455 582.028158 333.984357
513 1276.37962 723.915792 21.941693 212.456382 18.591016 105.24997 57.454586 38.710997 62.855495 13.071846 61.471509 27.241268 37.311973 32.078455 22.34638 106.164058 80.531098 14.482512 11.137866 14.049817 16.050103 35.574694 15.439762 23.218825 32.013128 9.603355 5.327764 733.515911 482.835226 76.086048 82.912344 348.311819 48.096616 418.434195 436.024611 78.236474 161.753528 833.892707 470.648424
521 649.777993 678.308138 16.561427 96.409651 9.388307 36.918392 21.686121 21.702822 31.002354 9.896296 30.146522 13.451046 23.057595 10.043557 11.439198 46.289625 48.560845 4.596531 2.001457 7.763255 9.37425 17.533511 5.840521 12.179905 17.667751 6.190403 6.179079 367.837702 270.334271 358.458408 620.034255 207.658542 324.189444 241.053674 233.896783 706.21224 1439.14508 385.779924 246.850989
525 1639.16727 906.362019 20.652156 206.46594 11.731213 97.935611 56.751298 45.257469 60.616363 12.961726 49.078253 19.620592 53.714764 47.394425 21.37014 126.267757 71.496309 15.01741 5.018827 18.073885 20.654998 31.249218 12.989387 33.1079 36.105455 10.309374 6.642895 730.280713 402.162049 75.44309 49.646401 278.451845 42.763598 333.369485 336.227108 59.241381 115.945338 831.193132 354.681055
536 1125.49094 667.32509 28.059921 208.491141 20.539733 91.063661 40.634236 50.012797 67.141952 13.004297 66.658078 22.799054 40.929478 19.772064 31.327243 92.884587 81.785012 14.301145 8.915738 17.656519 17.778607 28.547576 9.209484 23.113363 34.144206 15.889867 9.280352 728.107725 489.518506 93.262269 110.406783 364.955598 65.880553 463.379231 458.74457 103.711693 205.564871 846.902715 468.227216
548 1591.34695 1047.45847 23.257847 194.129635 13.878898 93.369656 57.335911 44.979283 56.319958 12.651789 52.113869 18.779769 44.889706 41.059785 25.213184 134.049796 58.524786 14.386017 7.325463 14.867822 15.215248 27.997078 9.038808 25.983696 36.430525 7.103017 6.412715 736.480609 365.753343 81.14308 59.567802 250.513254 50.844227 304.513601 333.889259 70.153891 135.861696 846.460237 336.117161
569 1098.15585 674.863067 28.28686 200.321115 16.182696 96.837426 42.04804 45.623172 61.399073 18.607902 48.288783 20.592228 43.738705 23.748163 24.207342 83.673433 79.0783 15.436261 3.922578 15.063785 16.994931 36.920057 9.596908 22.352051 36.99969 8.455777 8.174327 665.931987 452.359304 117.591969 176.815719 344.365963 100.971064 408.743199 418.516549 181.860037 360.8728 782.330985 455.489759
571 1589.77951 907.208365 28.603182 181.377892 23.93677 91.249532 66.959345 44.29039 61.793208 11.566979 57.76169 23.503995 37.007653 40.582912 26.324449 137.384335 66.772249 11.540194 4.249525 17.987236 15.492507 29.048278 9.900936 25.928213 35.341525 8.441787 6.759256 726.448005 399.543909 84.764458 57.111936 288.32237 51.518176 346.933993 335.237325 72.012518 125.329959 822.67314 374.730159
597 1182.90833 706.25304 24.912748 196.999613 19.595412 85.006051 56.346952 39.442397 56.921218 13.166807 51.557436 22.974642 37.783796 24.034447 20.66634 101.323266 82.3636 14.08364 5.347484 14.177375 12.081128 31.949082 13.906118 20.290683 36.271301 12.529339 7.639658 675.150449 476.282932 117.749524 163.042279 354.223303 91.782401 404.37623 402.523579 183.535315 300.671567 766.676233 418.872134
