Recipient Egypt Ethiopia Western_Asia Russian_Caucasus Caucasus Iran South_Eastern_Europe Eastern_Europe Levant South_Asia IBS_Spain PJL_Pakistan GWD_Gambia ESN_Nigeria BEB_Bengal MSL_Sierra_Leone STU_Sri_Lanka ITU_India YRI_Nigeria LWK_Kenya TSI_Italy GIH_India
684 912.497213 506.460988 175.811095 215.557261 152.138931 37.155309 80.944964 215.958852 111.886096 122.910687 748.174761 607.510957 84.854105 83.318639 432.03645 59.423204 510.76638 533.280349 94.142068 159.688196 814.171082 586.730267
695 1488.48058 896.232804 126.171387 204.668256 148.250108 48.484916 75.38204 179.472596 168.754859 81.838884 678.449656 395.151177 93.91639 89.726915 289.18224 67.716753 363.806368 364.022716 91.12582 164.747532 843.283577 386.552277
721 1493.84126 872.105595 120.389527 202.51342 176.652025 46.352475 93.94244 172.273352 163.14241 95.499987 727.89648 416.508693 88.823693 60.496811 302.735183 48.351586 352.411861 356.197596 76.540944 140.496511 865.290773 372.955235
722 765.461158 628.389604 113.796853 146.828928 106.686375 36.513148 60.836894 133.357118 87.470715 98.900204 521.722581 434.5828 219.957726 355.694648 345.711648 207.055581 425.697749 453.15592 359.692129 754.311118 562.843313 426.751649
723 1526.2307 924.810873 123.302738 212.512345 156.915967 60.064027 86.602364 178.752603 199.694596 82.331883 717.766042 401.130379 80.307167 61.006564 292.832103 48.064378 327.697237 347.125639 76.399183 154.338578 830.723093 356.809409
724 1314.78518 1017.53111 121.841867 194.144616 155.40898 49.961779 88.763612 175.308202 141.634104 83.014643 752.625266 376.936923 119.958189 92.15675 267.426043 73.028422 353.586958 350.407992 115.756102 194.041805 842.020908 365.078403
736 756.08955 437.815855 161.849973 220.374923 150.180379 39.614745 75.517602 227.980895 97.446649 141.139553 717.376911 663.045335 82.678081 101.37019 456.218515 66.391351 541.833291 586.00203 105.248939 199.236918 800.60126 617.404911
739 583.346985 496.81198 102.903386 108.619053 80.945869 25.90253 50.545954 114.038286 67.566048 73.517373 403.399911 337.852726 333.058081 611.81595 259.573018 304.100767 338.717446 324.884329 619.920868 1237.38575 451.010237 319.501303
751 1078.25695 725.89595 128.191519 213.590336 137.771754 44.545387 75.626998 168.399968 131.391073 85.215635 672.348642 455.070914 138.024478 185.456061 304.259504 106.834822 381.22374 404.606387 207.450558 342.13225 790.065016 469.059914
762 1141.34473 732.853271 126.383694 180.733066 156.89189 41.028536 69.482025 157.699106 119.029431 100.978408 634.55081 429.867425 151.403983 201.412293 303.465687 122.79228 382.528205 377.9899 222.151896 449.909058 729.517617 413.404551
798 1571.29599 908.658114 129.532688 194.494599 173.855536 65.426016 89.173521 184.733886 193.144354 78.438058 715.616045 397.943085 76.04544 53.410873 301.028861 44.540331 334.546434 343.271046 53.687547 106.279401 858.327 371.969045
800 406.339134 248.151195 152.333353 145.34128 84.440758 29.008181 47.706087 154.104934 55.599029 161.103635 453.912612 763.822288 136.455078 227.476628 599.468017 115.100785 804.259821 857.484442 215.15922 365.43591 462.60294 760.112534
821 1005.59594 750.560879 118.162975 166.210234 116.481838 36.185599 67.291228 138.734883 115.214085 90.67161 557.528508 379.762689 230.433091 272.029614 308.346082 181.246756 377.422808 389.319642 305.188237 614.034158 626.180026 398.81699
831 723.652169 605.212534 80.452526 114.703948 79.469474 16.194498 55.884335 114.503414 70.153908 56.084414 485.817912 247.016124 402.641898 569.279803 181.982269 328.063532 215.729004 225.784184 654.674123 1271.84951 498.7875 247.480778
832 996.559696 511.432904 153.707122 217.206336 154.134999 41.110459 86.888668 206.950142 132.323803 122.795696 789.573812 600.516604 76.825508 71.896272 402.610696 53.547594 510.20121 498.824169 81.762382 134.616731 838.533992 563.399067
838 1201.22616 720.461318 138.489993 209.065763 161.33857 46.471556 81.288813 181.311098 136.414965 105.175863 730.894963 484.991108 74.233806 84.739128 363.306367 55.320745 432.470071 435.599556 90.12673 162.936505 867.908958 481.64584
839 177.060963 501.33116 20.98339 14.378414 9.227619 10.072331 6.535181 15.672512 10.91747 15.503456 62.506105 57.153372 581.514919 1150.73127 53.189533 557.3774 63.510222 58.879635 1202.78166 2557.78406 63.896671 54.410516
841 1624.76649 903.447467 125.954858 198.230737 155.579803 63.072631 84.807622 179.570344 171.152052 77.734493 702.00137 396.072372 70.705074 47.182027 291.653746 45.833029 333.098593 347.895943 65.025327 118.646209 873.495668 369.492006
850 1621.39498 1046.4567 111.78259 196.201604 158.508972 52.907915 91.13439 171.031097 198.931191 79.469009 723.625173 362.642198 86.14084 47.127718 260.262032 46.258046 301.9296 313.433569 60.14528 109.616335 859.709471 346.709158
855 1041.88271 588.136615 156.432006 194.184529 161.979058 34.147867 81.441181 210.125655 124.139763 110.252506 742.117261 534.307951 114.079393 118.751935 367.641042 77.761718 481.290333 485.927819 133.460216 213.758592 784.138445 489.461261
865 872.843893 531.734894 146.664994 182.31921 142.867659 34.105933 81.728419 200.564224 114.422059 115.189222 658.89167 525.284335 131.562007 184.257067 386.700041 116.569501 479.627122 496.530385 214.189166 381.50319 719.601014 528.261865
873 1445.76759 813.389203 136.29553 198.532734 153.455031 57.451302 80.15438 191.241798 154.069865 91.982891 741.863985 455.927144 80.131013 64.403891 320.216221 49.631795 379.868055 379.392443 80.629366 138.418077 841.02285 391.572693
874 1622.40762 946.320788 131.313908 213.366725 183.246426 57.435806 88.671334 170.918079 195.257664 72.914292 723.321443 369.741448 76.219968 52.214932 261.786658 38.705231 320.446322 331.412485 54.140669 106.256313 869.106561 360.21319
881 1244.30791 779.132649 144.830978 204.651411 156.707314 47.947891 80.043662 187.483918 138.219356 104.568798 719.194987 457.233454 96.869367 99.173897 333.85317 58.18162 430.056326 405.13561 90.283637 172.303693 838.792512 456.445706
888 676.501132 354.918532 190.005776 222.577274 162.006371 46.425571 88.245912 209.961201 84.403246 119.396272 688.576997 650.625625 120.307694 157.407438 445.309971 93.592435 536.678711 568.097382 163.191199 287.827391 776.274866 603.086859
909 1610.83992 926.635882 117.990176 195.468245 168.587268 52.136186 86.052597 185.177953 194.118705 87.491652 717.316599 392.097923 74.664479 56.169897 288.582307 44.447033 330.818292 341.154712 61.770787 112.681906 842.271147 358.944188
927 1536.84995 963.854855 118.618121 190.440618 163.981474 60.959335 93.111913 173.082965 190.558229 79.252658 719.717996 382.770146 89.174317 65.100652 282.604178 53.545051 318.421043 331.689042 68.652838 154.021748 848.259405 360.751328
939 1000.54835 542.085233 156.673898 191.153397 158.511793 38.752126 81.575763 207.004509 122.976097 114.447511 708.82671 539.067176 107.576421 127.976845 378.003684 84.609541 464.661156 500.063338 144.804828 274.653689 791.126908 510.318879
942 1622.17891 961.702267 119.405669 188.34093 161.725452 68.647115 85.033833 172.724916 178.486285 73.389226 730.487116 384.943619 82.323363 47.993058 270.618635 42.297786 326.628759 336.864505 56.836841 112.752829 858.965625 363.071124
960 1544.23361 891.460335 132.344456 207.542662 153.926825 57.71183 88.004363 174.862794 191.209547 92.41028 708.498089 432.201056 79.732628 47.254452 297.447247 42.924112 350.185951 362.409387 53.24031 131.191685 833.905018 372.721217
969 1540.95892 926.071965 133.886571 219.519276 158.842908 58.732788 78.270477 182.178321 180.026634 86.252108 737.734349 389.305661 73.813851 55.8964 277.235381 47.118684 355.301998 357.145694 63.033465 106.035595 860.627255 357.429565
