IID	GB	KE	Family	Name_number
HG03166	ESN_Nigeria	ESN_Nigeria		
HG03168	ESN_Nigeria	ESN_Nigeria		
HG03169	ESN_Nigeria	ESN_Nigeria		
HG03172	ESN_Nigeria	ESN_Nigeria		
HG03175	ESN_Nigeria	ESN_Nigeria		
HG03189	ESN_Nigeria	ESN_Nigeria		
HG03190	ESN_Nigeria	ESN_Nigeria		
HG03193	ESN_Nigeria	ESN_Nigeria		
HG03195	ESN_Nigeria	ESN_Nigeria		
HG03196	ESN_Nigeria	ESN_Nigeria		
HG03198	ESN_Nigeria	ESN_Nigeria		
HG03199	ESN_Nigeria	ESN_Nigeria		
HG03202	ESN_Nigeria	ESN_Nigeria		
HG03209	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03212	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03224	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03225	MSL_Sierra_Leone	MSL_Sierra_Leone		
HG03228	PJL_Pakistan	PJL_Pakistan		
HG03229	PJL_Pakistan	PJL_Pakistan		
HG03234	PJL_Pakistan	PJL_Pakistan		
HG03235	PJL_Pakistan	PJL_Pakistan		
HG03237	PJL_Pakistan	PJL_Pakistan		
HG03238	PJL_Pakistan	PJL_Pakistan		
HG03240	GWD_Gambia	GWD_Gambia		
HG03241	GWD_Gambia	GWD_Gambia		
HG03246	GWD_Gambia	GWD_Gambia		
HG03247	GWD_Gambia	GWD_Gambia		
HG03258	GWD_Gambia	GWD_Gambia		
HG03259	GWD_Gambia	GWD_Gambia		
HG03265	ESN_Nigeria	ESN_Nigeria		
HG03267	ESN_Nigeria	ESN_Nigeria		
HG03268	ESN_Nigeria	ESN_Nigeria		
HG03270	ESN_Nigeria	ESN_Nigeria		
HG03271	ESN_Nigeria	ESN_Nigeria		
HG03279	ESN_Nigeria	ESN_Nigeria		
HG03280	ESN_Nigeria	ESN_Nigeria		
HG03291	ESN_Nigeria	ESN_Nigeria		
HG03294	ESN_Nigeria	ESN_Nigeria		
HG03295	ESN_Nigeria	ESN_Nigeria		
HG03297	ESN_Nigeria	ESN_Nigeria		
HG03298	ESN_Nigeria	ESN_Nigeria		
HG03300	ESN_Nigeria	ESN_Nigeria		
HG03301	ESN_Nigeria	ESN_Nigeria		
HG03303	ESN_Nigeria	ESN_Nigeria		
HG03304	ESN_Nigeria	ESN_Nigeria		
HG03311	ESN_Nigeria	ESN_Nigeria		
HG03313	ESN_Nigeria	ESN_Nigeria		
HG03342	ESN_Nigeria	ESN_Nigeria		
HG03343	ESN_Nigeria	ESN_Nigeria		
HG03351	ESN_Nigeria	ESN_Nigeria		
HG03352	ESN_Nigeria	ESN_Nigeria		
HG03354	ESN_Nigeria	ESN_Nigeria		
HG03363	ESN_Nigeria	ESN_Nigeria		
HG03366	ESN_Nigeria	ESN_Nigeria		
HG03367	ESN_Nigeria	ESN_Nigeria		
HG03369	ESN_Nigeria	ESN_Nigeria		
HG03370	ESN_Nigeria	ESN_Nigeria		
HG03372	ESN_Nigeria	ESN_Nigeria		
